CCSUID,CCSNAME,SRUNOM,WHTSPG_M,WHTWIN_M,BARLEY_M,OATS_M,TOTRYE_M,CORNGR_M,CANOLA_M,SOYBNS_M,DFPEAS_M,LENTIL_M,OTTAME_M,CORNSI_M
4819066,Fairview No. 136,Fairview No. 136,18877.0,-1.0,7197.0,1983.0,287.0,0.0,37702.0,34.0,4109.0,-1.0,1374.0,-1.0
4819071,Peace No. 135,Peace No. 135,6878.0,-1.0,6862.0,3037.0,0.0,0.0,16803.0,0.0,5350.0,0.0,6087.0,-1.0
4802031,Newell County,Newell County,34775.0,2165.0,21655.0,2084.0,-1.0,1955.0,29901.0,-1.0,10364.0,4861.0,9021.0,4764.0
4806001,Foothills County,Foothills County,33473.0,-1.0,36482.0,2483.0,431.0,-1.0,31169.0,0.0,8786.0,-1.0,12599.0,-1.0
4812037,Lac la Biche County,Lac la Biche County,5038.0,324.0,2610.0,4055.0,0.0,32.0,9039.0,0.0,-1.0,0.0,5332.0,204.0
4813001,Lac Ste. Anne County,Lac Ste. Anne County,9240.0,-1.0,8303.0,7548.0,-1.0,-1.0,14920.0,-1.0,1723.0,0.0,16302.0,682.0
4813036,Thorhild County,Thorhild County,14211.0,-1.0,8775.0,4573.0,0.0,0.0,24351.0,-1.0,2099.0,0.0,4568.0,-1.0
4817027,Big Lakes County,Big Lakes County,8867.0,-1.0,3841.0,3363.0,-1.0,0.0,13281.0,0.0,-1.0,-1.0,17497.0,82.0
4817033,Lesser Slave River No. 124,Lesser Slave River No. 124,8797.0,0.0,-1.0,1531.0,0.0,0.0,9665.0,0.0,-1.0,0.0,3991.0,-1.0
4819006,Grande Prairie County No. 1,Grande Prairie County No. 1,35614.0,809.0,31603.0,9972.0,-1.0,0.0,66642.0,0.0,11440.0,0.0,18524.0,-1.0
